case_id,dice,iou,precision,recall,tp,fp,fn,pred_area,ref_area,pred_components,ref_components
0347134,0.9623524757697633,0.9274367772270936,0.9678403288906571,0.9569265062610633,14596,485,657,15081,15253,6,6
0349131,0.9648656416151746,0.9321163323384466,0.9907776302198613,0.9402744713625543,13429,125,853,13554,14282,6,6
0352131,0.947212543554007,0.8997186827734569,0.9756841633019291,0.9203554803216251,10874,271,941,11145,11815,6,6
0353131,0.9615911103953619,0.9260235732009926,0.988085388052292,0.9364805520702635,11942,144,810,12086,12752,6,6
0359131,0.9704915811227428,0.9426747400289588,0.980288823489152,0.9608882329263384,14323,288,583,14611,14906,6,6
0363131,0.9706705433399964,0.943012499117294,0.9730399300495483,0.9683126676818214,13354,370,437,13724,13791,6,6
0365132,0.9753634484394591,0.9519116285222913,0.9824549426542872,0.9683735953166005,14391,257,470,14648,14861,6,6
0366132,0.9640979079181327,0.9306843912059017,0.9686050931204865,0.9596324747702968,12742,413,536,13155,13278,6,6
0372132,0.9698741578746664,0.9415103652517275,0.9782051282051282,0.9616838921099067,11445,255,456,11700,11901,6,6
0377132,0.9648584362771426,0.9321028834037507,0.9748817737809132,0.9550391129338498,12575,324,592,12899,13167,6,6
0380132,0.9545956938856713,0.9131354140235135,0.974984195791565,0.9350424389398926,10796,277,750,11073,11546,6,6
0385135,0.9659342177998894,0.9341129301703976,0.9725198274662585,0.9594371997254633,13979,395,591,14374,14570,6,6
0389135,0.9756620428751577,0.952480610611843,0.9855423221450863,0.9659779012422748,15474,227,545,15701,16019,6,6
0392135,0.9579342525348209,0.9192646959800687,0.9708434077656094,0.9453638944671422,13652,410,789,14062,14441,6,6
0393135,0.9504751538493741,0.9056242520941364,0.9306443679291687,0.9711694755753272,11352,846,337,12198,11689,6,6
0394135,0.9673352962826647,0.9367370578276754,0.9575553329082794,0.9773170958445663,10513,466,244,10979,10757,6,6
0402135,0.9655144759002325,0.933328164974029,0.987126926861266,0.9448281274525192,12039,157,703,12196,12742,6,6
0403135,0.9690496660273792,0.9399576624542947,0.9840832773673607,0.9544684731631058,14653,237,699,14890,15352,6,6
0408136,0.9707529038188352,0.9431679792157182,0.9702664328071494,0.9712398628877185,11617,356,344,11973,11961,6,6
0413136,0.9539686489176412,0.911988582302569,0.9624184178440794,0.9456659619450317,13419,524,771,13943,14190,6,6
0418134,0.9707274898102022,0.94312,0.987353433835846,0.9546521985585877,11789,151,560,11940,12349,6,6
0419134,0.9659280653459091,0.9341014227110064,0.9843635025754232,0.9481704615929831,10702,170,585,10872,11287,6,6
0420134,0.9567918009239489,0.9171628460851444,0.9806621040904027,0.9340559387554006,12323,243,870,12566,13193,6,6
0428134,0.9684845932477013,0.9388949373979314,0.9933765298776098,0.9448096411941934,13798,92,806,13890,14604,6,6
0429134,0.9674562306900103,0.9369638938759226,0.9712572373862697,0.963684858432499,14091,417,531,14508,14622,6,6
0431134,0.9644208932626798,0.9312865497076024,0.9792071197411003,0.9500745741423974,12103,257,636,12360,12739,6,6
0432134,0.9656307676959146,0.933545524691358,0.9722752385735811,0.9590764962346413,9679,276,413,9955,10092,6,6
0433134,0.9741111494649638,0.949528936742934,0.9867899603698811,0.9617540139351711,12699,170,505,12869,13204,6,6
0436134,0.9715072555873319,0.9445932028836251,0.982924912481246,0.9603518079017171,13758,239,568,13997,14326,6,6
0446134,0.9666874437287901,0.9355227882037533,0.9601045535837116,0.9733612273361227,13958,580,382,14538,14340,6,6
0454137,0.9626012289911692,0.9278989486897851,0.9691084890199935,0.9561807745169375,11827,377,542,12204,12369,6,6
0457137,0.9697861420017109,0.9413444931579646,0.9765022050716649,0.9631618296744375,14171,341,542,14512,14713,6,6
0470138,0.9634763647690989,0.929526671675432,0.97624871774639,0.9510338996079637,12372,301,637,12673,13009,6,6
0473138,0.9669112459432764,0.9359420883698696,0.9650049288832558,0.9688251095716104,13705,497,441,14202,14146,6,6
0474138,0.9686619273966264,0.9392283220491068,0.9629505728861755,0.9744414353419093,11514,443,302,11957,11816,6,6
0482138,0.9607141591979879,0.924398391165042,0.951045027353065,0.9705819196907881,13560,698,411,14258,13971,6,6
0484136,0.9728904974806614,0.947212050024183,0.9747582480091013,0.9710298909193937,13709,355,409,14064,14118,6,6
0490136,0.9663262285375962,0.9348464237130378,0.9837263617870866,0.9495309432041306,13057,216,694,13273,13751,6,6
0493136,0.9644130934453515,0.9312720036736568,0.9807366809059402,0.9486239962578935,12168,239,659,12407,12827,6,6
0495136,0.9749423748977619,0.9511098215581024,0.9837197089053943,0.9663202888938021,13112,217,457,13329,13569,6,6
0499137,0.9691679049034175,0.9401801801801801,0.9731443491234614,0.9652238253792083,13045,360,470,13405,13515,6,6
0515137,0.970777533479912,0.9432144799192107,0.970428388746803,0.9711269295369112,12142,370,361,12512,12503,6,6
0519140,0.9580174927113703,0.919418019026301,0.9790770045686288,0.9378448658590728,14787,316,980,15103,15767,6,6
0534140,0.9718802724489158,0.9452987297149456,0.9843047908360231,0.9597655044739278,15553,248,652,15801,16205,6,6
0544141,0.9719039626359192,0.94534355479841,0.9828782287822878,0.9611720554272517,13318,232,538,13550,13856,6,6
0552138,0.9612265854608548,0.9253476956640305,0.9730446626998351,0.9496921354603974,13573,376,719,13949,14292,6,6
0559139,0.9641819349707889,0.9308410111032365,0.9543445352709657,0.9742242551613302,15761,754,417,16515,16178,6,6
0572139,0.9635972659549957,0.9297517599110782,0.9680580202144896,0.9591774329179726,12547,414,534,12961,13081,6,6
0583140,0.9658961029384655,0.9340416428978894,0.9660029498525073,0.9657892796578929,13099,461,464,13560,13563,6,6
0586143,0.9708482761069488,0.9433480540988132,0.9681325685149776,0.9735792622133599,13671,450,371,14121,14042,6,6
0588143,0.9571205644887713,0.917767223993234,0.9533689261336757,0.9609018459233022,14107,690,574,14797,14681,6,6
0590143,0.968361718892054,0.9386640032900535,0.9666041502813237,0.9701256906916024,15977,552,492,16529,16469,6,6
0594143,0.9604906753012236,0.9239846651491553,0.9492891870268939,0.9719596723377442,15425,824,445,16249,15870,6,6
0596144,0.9599740090968161,0.923028864175934,0.9441462167689162,0.9763415278879196,14774,874,358,15648,15132,6,6
0602144,0.9607344632768362,0.9244359880402283,0.9540507181328546,0.9675125170687301,17005,819,571,17824,17576,6,6
0603144,0.9684083323742663,0.938751603726223,0.9599018936801278,0.9770668834184858,16829,703,395,17532,17224,6,6
0620142,0.9611911154503295,0.9252819548872181,0.9694731659281143,0.9530493707647628,13783,434,679,14217,14462,6,6
0622142,0.9622415633998771,0.9272307788239695,0.9737410778599961,0.9510104886160143,14870,401,766,15271,15636,6,6
0631142,0.9670053281265513,0.9361184084064843,0.9655673782301236,0.9684475672809227,14610,521,476,15131,15086,6,6
0640143,0.9605909683457566,0.9241703112940571,0.9642976981410644,0.9569126265316995,14369,532,647,14901,15016,6,6
0641143,0.9501466275659824,0.9050279329608939,0.9686512343042624,0.9323357724245663,11340,367,823,11707,12163,6,6
0643143,0.9603609857688302,0.9237446581196581,0.9488340192043896,0.9721714687280394,13834,746,396,14580,14230,6,6
0650149,0.9714285714285714,0.9444444444444444,0.9758177421407662,0.9670787083753785,15334,380,522,15714,15856,6,6
0658149,0.9492878526716865,0.9034709031255397,0.943325921028908,0.9553256238587949,15696,943,734,16639,16430,6,6
0667150,0.969704832954914,0.9411912857322755,0.9853009030386922,0.9545948017114758,14948,223,711,15171,15659,6,6
0673150,0.9635239667281613,0.9296152885335998,0.9603845409381251,0.9666839849331081,14885,614,513,15499,15398,6,6
0676150,0.956540883272423,0.9167018313781754,0.9457553330430997,0.967575271690718,21724,1246,728,22970,22452,6,6
0677150,0.9522668563513159,0.9088830129350389,0.9318581477139508,0.9735895276735819,12718,930,345,13648,13063,6,6
0684145,0.9637256075661439,0.9299907578558225,0.958162232934595,0.969353964717924,16100,703,509,16803,16609,6,6
0685146,0.9532407929879998,0.9106590958096744,0.9555773436910777,0.9509156409486641,12670,589,654,13259,13324,6,6
0693146,0.953823858770832,0.9117239642362422,0.9504430587463079,0.957228796192239,14480,755,647,15235,15127,6,6
0696146,0.9624662323216272,0.9276481039024689,0.9629252782193959,0.962007623888183,15142,583,598,15725,15740,6,6
0700147,0.9596143914615253,0.9223641538156065,0.9600440892807937,0.9591850781196228,13936,580,593,14516,14529,6,6
0701147,0.9643093818044116,0.9310786106032907,0.9791720071776467,0.9498912029841468,15279,325,806,15604,16085,6,6
0706148,0.9625949123482277,0.9278872099298435,0.9665518937530743,0.9586701979369947,13755,476,593,14231,14348,6,6
0709148,0.9571495954428358,0.9178206109526129,0.9634769905040176,0.950904765337755,13190,500,681,13690,13871,6,6
0712153,0.9629387968158685,0.9285264879828866,0.9532360160186022,0.9728411338167435,14758,724,412,15482,15170,6,6
0716153,0.968976118754076,0.9398192771084337,0.9716616841056303,0.9663053576958811,15601,455,544,16056,16145,6,6
0717153,0.9634116039259535,0.9294061245280757,0.9777455554154584,0.9494918574752051,15509,353,825,15862,16334,6,6
0723153,0.9628807634689008,0.9284185747913546,0.9485651817436458,0.9776350628133627,17354,941,397,18295,17751,6,6
0724153,0.955727704801467,0.9152092889908257,0.9382761407891836,0.9738407565588774,12769,840,343,13609,13112,6,6
0730154,0.9605680616407313,0.9241279069767442,0.9636837637928943,0.9574724414191916,15895,599,706,16494,16601,6,6
0731154,0.9726260904441993,0.9467109115752489,0.970970970970971,0.974286862193652,14550,435,384,14985,14934,6,6
0742155,0.9641439578399653,0.9307702215352911,0.9625707625707626,0.9657223038888146,14453,562,513,15015,14966,6,6
0743155,0.9619095261916673,0.9266143466886961,0.9839900577527597,0.9407982106661075,13460,219,847,13679,14307,6,6
0751151,0.9565824862901254,0.9167782538832351,0.9805227354099535,0.9337834151663938,13693,272,971,13965,14664,6,6
0758151,0.9657672785558905,0.9338007380073801,0.9765377788068226,0.9552317680809301,12653,304,593,12957,13246,6,6
0759151,0.9697459682566699,0.9412687923343797,0.9711095960456793,0.968386164697884,11395,339,372,11734,11767,6,6
0761151,0.9591986831506322,0.9215963389191736,0.9721019379569816,0.9466334854140743,13694,393,772,14087,14466,6,6
0770152,0.9548337362906899,0.9135711412096017,0.9345634131284725,0.9760028653295129,13625,954,335,14579,13960,6,6
0774159,0.9582403383061201,0.9198286068670012,0.9520891690009337,0.9644715062662568,16315,821,601,17136,16916,6,6
